"id","hallazgo","prioridad","status","numero_esperado","numero_calculado","detalle","riesgos"
"H1_NS","En No Socios, gasto_cine no discrimina entre tipos de fan (η² < 0.03, p>0.05)","alta","OK","η²<0.03, p>0.05","η²=0.023, p=0.316","Recomputado desde no_socios_base.csv gasto_cine × c4","—"
"H1_SC","En Socios, gasto_cine no discrimina entre tipos de fan","alta","OK","η²<0.03, p>0.05","η²=0.013, p=0.115","Recomputado desde socios_base.csv gasto_cine × perfil","—"
"H2","En No Socios lidera C08 (61% arriba del umbral); en Socios lidera C03 (22% share)","alta","OK","NS: C08=61%; SC: C03=22.2%","NS: C08=61%; SC: C03=22.2%","NS: mean(util>0) por concepto; SC: share of preference exp(util)/Σexp(util)","Métricas distintas por brazo (No comparables en magnitud)"
"H3","Fan Aislado: 8/155=5.2% (NS) vs 75/455=16.5% (SC), ratio ~3x","alta","OK","NS: 8/155 (5.2%); SC: 75/455 (16.5%); ratio ~3x","NS: 8/155 (5.2%); SC: 75/455 (16.5%); ratio 3.19x | IC95 NS: [2.6, 9.9]","Conteos directos desde CSVs de segmentos","Base NS chica (n=8, IC95% ancho); muestras no-aleatorias en ambos brazos"
"H4","En Socios, Fan Intermedio tiene Reysen 6.61 / FANDOM 3.79 (perfil solitario)","media","OK","SC F.Intermedio: Reysen 6.61 / FANDOM 3.79","SC: R=6.61 F=3.79 (gap=2.82) | NS: R=6.30 F=5.74 (gap=0.56)","Medias sobre socios_segmentos.csv (SC) y join de segments/base (NS)","—"
"H5","Silhouette medio: 0.53 (NS) vs 0.46 (SC) — SC más difuso","baja","OK","NS ~0.53; SC ~0.46","NS=0.533; SC=0.462","K-means re-corrido con seed=2026, nstart=50","—"
"H6","C13 (Festival CP × Crunchy) es #2 en ambos brazos","alta","OK","C13: rank #2 en ambos","NS rank C13=2 (47.7%); SC rank C13=2 (18.0%)","Rankings recomputados desde utilidades individuales","—"
"H7","En deep-dive NS, C08 tiene %incremental ≈ 54%","alta","OK","C08 %incremental ≈ 54%","53.7% (n_ev=67)","Concatenación slots 1-3 de dd_X_concept + dd_X_incremental","Sustitución cruzada no capturada (Cineplanet vs otro cine)"
"H8","C07 tiene 10.9% share en Socios (baja demanda vs 41% umbral en NS)","media","OK","SC: C07=10.9% share; NS: C07=41% umbral","SC: 10.9%; NS: 41.3%","Recomputado desde utilidades individuales","Métricas distintas por brazo — no comparables en magnitud"
"H9","C18 tiene %believ_top2 ≈ 89% pero solo #5 en %umbral","baja","OK","C18 believ top-2≈89%, rank demanda ~#5","believ_top2=89.3%; rank_umbral=5 (n_ev=28)","believ ≥4 en deep-dive; rank sobre mean(util>0)","—"
"H10","C15 y C04 en bottom-3 de ambos brazos","media","OK","C15 y C04 en bottom-3 de ambos brazos","NS bot3=C04,C15,C05; SC bot3=C04,C16,C15","Bottom-3 por métrica principal de cada brazo","—"
"H11","El %incremental del Juster NO distingue entre visita nueva pura y sustitución de otro cine","alta","OK","Limitación conocida del instrumento","—","El instrumento solo pregunta 'incremental vs substitute_cine vs substitute_other vs no_impact' pero 'incremental' agrupa (a) visita 100% nueva y (b) sustitución de otro cine","Volumen incremental es 'ganancia para CP como empresa', no 'tickets nuevos al mercado del cine'"
"H12","group_size promedio en deep-dive NS entre 3 y 5 por concepto","media","OK","group_size promedio ∈ [3, 5]","media_global=4.12, rango=[3.14, 5.39]","Media de group_size por concepto en deep-dive slots 1-3","Autoreportado, susceptible a sobre-estimación"
"H13","En NS, Festival CP×Crunchy: ~56% anime_friends, ~31% partner; Charlas: 100% partner (n=3)","media","OK","C13: anime_friends >50%, partner ~30%; C04: partner >60% (n=3)","C13: af=55.6% pt=31.5% (n=54); C04: pt=100.0% (n=3)","grepl sobre CSV multi-select dd_X_with","C04 base chica (n=3) → 100% es artefacto"
"H14","En NS, C06 (Museo) tiene mayor share en Callao (informativo, base chica)","baja","OK","Callao top en util media C06","Top zona por util C06: callao (n=20, util media -0.24)","Media de utilidad C06 por s6_distrito","Base por zona pequeña; test η² no realizado en este script"
"H15","En NS, mujeres tienen mayor %umbral en C18 vs hombres (η² > 0.05)","media","OK","M > H en C18; η² > 0.05; p<0.05","H=25.3%, M=46.1%; η²=0.085, p=0.0002","Recomputado con ANOVA sobre util C18 × sexo","—"
"H16","En NS, usuarios de Crunchyroll tienen mayor %umbral en C13","baja","OK","Diferencia %umbral > 15 pp (crunchy > no-crunchy)","Usa: 57.8%, No usa: 33.8%, dif=23.9 pp","Multi-select p1_platforms","Endogeneidad: quienes usan Crunchyroll son fans más comprometidos"
"H17","En NS, 26% (41/155) usan fansubs","media","OK","41/155 (26%)","41/155 (26.5%)","Multi-select p1_platforms","Autoreporte de piratería puede tener sesgo de deseabilidad"
"H18","En Socios, Cramer V(perfil × freq_anime) ≈ 0.22 (mayor entre externas)","baja","OK","Cramer V ≈ 0.22","V=0.215 (χ²=62.93, p=0.0000)","Chi² sobre tabla contingencia freq_anime × perfil (Socios)","—"
